Stimulus,Trigger Type,Timestamp
sad,-1,1750268810.7700808
happy,1,1750268811.8193722
happy,1,1750268812.8695378
sad,-1,1750268813.9074395
happy,1,1750268814.9586184
happy,1,1750268816.0063481
sad,-1,1750268817.0456457
happy,1,1750268818.091272
sad,-1,1750268819.129977
happy,1,1750268820.1762764
