Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
0.9423387050628662,2289.4002,2404.1043,2087.0424000000003,2128.1382,2249.0847000000003,2403.0639,2370.2913000000003,1939.3056,2262.6099,2309.688,2004.3306,2031.381,2254.5468,1819.3995000000002
1.0826432704925537,2289.4002,2403.324,2087.0424000000003,2127.8781000000004,2248.8246,2402.0235000000002,2368.9908,1940.8662,2262.87,2310.4683,2003.8104,2025.6588000000002,2253.5064,1819.3995000000002
1.092071533203125,2289.4002,2403.0639,2087.5626,2127.0978,2248.5645,2399.4225,2369.7711,1937.7450000000001,2263.1301000000003,2312.0289000000002,2003.8104,2026.6992,2253.5064,1818.3591
1.1008200645446777,2289.6603,2404.3644000000004,2085.7419,2127.618,2248.8246,2400.4629,2371.3317,1937.2248,2263.1301000000003,2309.688,2004.5907000000002,2028.2598,2254.2867,1818.0990000000002
1.1098721027374268,2288.6199,2403.5841,2086.7823,2127.618,2247.7842,2400.9831000000004,2369.7711,1938.0051,2262.3498000000004,2310.4683,2005.1109000000001,2031.6411,2252.9862,1817.8389
1.1189141273498535,2288.6199,2401.7634000000003,2087.5626,2128.9185,2248.0443,2401.7634000000003,2371.8519,1939.8258,2262.87,2310.7284,2005.1109000000001,2030.3406,2251.4256,1818.0990000000002
1.1278133392333984,2288.3598,2405.1447000000003,2087.8227,2127.0978,2248.8246,2400.723,2368.7307,1937.7450000000001,2263.3902000000003,2310.7284,2004.0705,2030.8608,2254.8069000000005,1817.0586
1.1367928981781006,2287.5795,2402.0235000000002,2088.603,2127.3579,2247.7842,2400.9831000000004,2369.7711,1938.2652,2262.87,2310.9885000000004,2005.371,2025.3987,2253.7664999999997,1818.8793
1.1457767486572266,2288.3598,2403.324,2088.0828,2129.1785999999997,2247.7842,2399.9427,2370.2913000000003,1937.2248,2264.1705,2311.2486,2004.8508,2025.9189,2253.5064,1819.6596
1.1549139022827148,2288.6199,2404.6245,2087.0424000000003,2128.9185,2248.5645,2400.9831000000004,2370.5514000000003,1936.1844,2263.6503,2311.5087,2003.2902,2026.9593000000002,2254.0266,1817.3187
1.163884162902832,2288.88,2402.8038,2086.5222000000003,2127.618,2248.3044000000004,2402.0235000000002,2370.2913000000003,1937.2248,2262.3498000000004,2311.2486,2003.8104,2024.3583,2254.2867,1817.5788
1.1728391647338867,2288.6199,2403.0639,2086.7823,2128.3983,2247.7842,2401.5033,2369.5110000000004,1938.2652,2262.6099,2310.7284,2004.5907000000002,2024.0982000000001,2254.0266,1819.3995000000002
1.181786060333252,2289.1401,2403.0639,2087.3025000000002,2128.1382,2247.5241,2401.5033,2370.0312,1938.7854,2263.3902000000003,2310.7284,2004.3306,2030.3406,2253.2463000000002,1818.0990000000002
1.1908202171325684,2288.3598,2402.8038,2088.3429,2129.4387,2248.0443,2400.9831000000004,2369.5110000000004,1939.3056,2263.3902000000003,2310.9885000000004,2005.1109000000001,2030.6007000000002,2251.4256,1817.5788
1.1998310089111328,2288.3598,2402.5437,2088.8631,2128.9185,2248.5645,2401.2432,2371.5918,1938.7854,2263.3902000000003,2310.2082,2004.0705,2029.3002000000001,2253.2463000000002,1818.0990000000002
1.2087922096252441,2288.3598,2404.1043,2088.8631,2128.1382,2248.0443,2401.5033,2371.5918,1937.4849000000002,2264.1705,2310.9885000000004,2004.3306,2031.9012,2254.5468,1817.8389
1.2177979946136475,2288.0997,2403.5841,2088.603,2129.1785999999997,2248.3044000000004,2402.0235000000002,2371.3317,1938.2652,2264.4306,2312.5491,2004.5907000000002,2029.5603,2252.7261,1817.0586
1.2268452644348145,2289.1401,2402.5437,2088.603,2130.219,2247.7842,2400.9831000000004,2370.5514000000003,1938.0051,2263.3902000000003,2311.2486,2003.8104,2025.3987,2252.4660000000003,1818.6192
