Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
0.0,4497.6900000000005,4701.6900000000005,4123.35,4194.24,4408.4400000000005,4707.3,4642.53,3802.56,4435.47,4529.31,3934.65,3983.61,4421.7,3581.2200000000003
0.0078125,4484.9400000000005,4698.12,4117.74,4198.32,4406.4,4710.36,4641.51,3801.03,4435.9800000000005,4532.37,3937.2000000000003,3983.61,4418.64,3576.63
0.015625,4486.9800000000005,4699.65,4123.86,4196.28,4406.91,4711.89,4644.06,3800.01,4433.43,4530.33,3934.14,3980.55,4415.58,3573.06
0.0234375,4491.57,4698.12,4128.96,4193.22,4407.42,4708.32,4647.63,3803.58,4435.47,4526.76,3934.14,3982.08,4419.15,3574.08
0.03125,4490.04,4697.61,4130.49,4203.93,4406.91,4708.32,4648.65,3804.6,4439.04,4528.8,3934.65,3975.96,4417.62,3569.4900000000002
0.0390625,4498.71,4700.67,4136.1,4197.81,4407.42,4709.85,4645.59,3801.54,4435.47,4531.35,3933.63,3967.29,4416.6,3568.98
0.046875,4495.65,4699.65,4131.51,4190.16,4409.46,4711.38,4647.12,3801.03,4433.9400000000005,4529.31,3935.67,3974.94,4421.7,3571.53
0.0546875,4486.9800000000005,4702.2,4122.33,4196.28,4410.4800000000005,4709.85,4647.12,3803.58,4435.47,4527.78,3934.65,3984.12,4422.72,3573.06
0.0625,4487.49,4699.14,4125.39,4193.22,4411.5,4710.87,4647.63,3804.09,4437.51,4528.29,3933.12,3981.57,4417.62,3573.57
0.0703125,4480.86,4696.08,4127.43,4193.22,4407.42,4709.34,4646.1,3799.5,4440.57,4529.82,3937.2000000000003,3981.06,4419.66,3576.63
0.078125,4489.02,4701.18,4129.47,4187.61,4407.93,4708.32,4649.16,3803.07,4436.49,4531.86,3929.55,3970.86,4419.15,3578.67
0.0859375,4489.02,4699.65,4130.49,4194.24,4410.99,4709.85,4650.18,3805.62,4433.9400000000005,4529.82,3931.59,3973.92,4418.13,3572.04
0.09375,4489.53,4700.16,4129.47,4199.85,4408.95,4710.36,4648.14,3806.64,4437.0,4528.29,3936.69,3978.0,4418.64,3571.02
0.1015625,4495.65,4705.26,4132.53,4192.71,4408.4400000000005,4710.36,4648.14,3806.64,4436.49,4530.33,3933.12,3970.86,4417.11,3571.53
0.109375,4490.04,4700.16,4134.57,4187.61,4408.95,4710.36,4644.57,3806.13,4435.9800000000005,4531.86,3935.16,3972.9,4416.09,3568.4700000000003
0.1171875,4492.59,4702.71,4129.47,4185.57,4408.4400000000005,4713.93,4646.61,3807.15,4438.02,4530.33,3931.59,3975.4500000000003,4416.6,3573.57
0.125,4486.9800000000005,4705.26,4119.78,4193.7300000000005,4408.95,4713.42,4648.65,3806.64,4438.02,4530.33,3933.63,3984.63,4418.13,3581.2200000000003
0.1328125,4478.31,4699.14,4112.13,4197.81,4409.46,4709.85,4647.63,3805.11,4438.53,4530.84,3935.67,3994.83,4417.62,3582.75
0.140625,4482.39,4700.67,4119.27,4191.6900000000005,4409.46,4711.89,4649.67,3802.05,4437.0,4529.31,3928.02,3982.08,4415.07,3580.2000000000003
0.1484375,4481.37,4700.67,4129.47,4188.12,4407.93,4709.34,4647.63,3802.05,4436.49,4529.31,3934.14,3971.88,4418.13,3579.69
0.15625,4483.92,4702.2,4126.92,4189.14,4407.93,4708.32,4647.63,3806.13,4437.51,4529.31,3936.69,3975.4500000000003,4418.64,3579.69
0.1640625,4489.02,4703.7300000000005,4124.88,4195.26,4408.4400000000005,4712.91,4647.12,3804.6,4435.47,4529.31,3933.12,3979.02,4414.05,3576.63
0.171875,4492.08,4699.65,4134.06,4197.3,4406.4,4711.89,4642.02,3802.05,4434.96,4529.82,3934.65,3975.96,4416.09,3572.04
