Stimulus,Trigger Type,Timestamp
sad,-1,1750273518.4480202
sad,-1,1750273519.4857895
sad,-1,1750273520.5248132
sad,-1,1750273521.5623715
sad,-1,1750273522.6002917
happy,1,1750273523.6481578
happy,1,1750273524.6950321
sad,-1,1750273525.7376475
sad,-1,1750273526.775553
sad,-1,1750273527.8171334
