Stimulus,Trigger Type,Timestamp
happy,1,1750272799.7934048
sad,-1,1750272800.8342822
sad,-1,1750272801.8746998
happy,1,1750272802.9214182
happy,1,1750272803.9705958
happy,1,1750272805.0169492
sad,-1,1750272806.05617
happy,1,1750272807.1038346
sad,-1,1750272808.1424065
sad,-1,1750272809.179599
