Stimulus,Trigger Type,Timestamp
happy,1,1750272882.7606354
sad,-1,1750272883.8021564
sad,-1,1750272884.8438516
sad,-1,1750272885.8810334
happy,1,1750272886.9313314
sad,-1,1750272887.971456
happy,1,1750272889.0192008
sad,-1,1750272890.0580688
sad,-1,1750272891.0963554
happy,1,1750272892.1426215
