Stimulus,Trigger Type,Timestamp
happy,1,1750268486.017587
sad,-1,1750268487.055101
happy,1,1750268488.1023595
happy,1,1750268489.1522014
happy,1,1750268490.2014902
happy,1,1750268491.2585738
happy,1,1750268492.313458
sad,-1,1750268493.3543024
sad,-1,1750268494.4017417
sad,-1,1750268495.4400883
