Stimulus,Trigger Type,Timestamp
happy,1,1750268691.19197
sad,-1,1750268692.2308269
sad,-1,1750268693.2712345
sad,-1,1750268694.3094392
sad,-1,1750268695.3514786
happy,1,1750268696.3989909
happy,1,1750268697.4481359
sad,-1,1750268698.4845502
happy,1,1750268699.5362046
happy,1,1750268700.5837479
