Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
0.0,4490.55,4700.16,4131.0,4215.66,4406.4,4705.77,4642.02,3801.54,4437.0,4524.21,3932.1,3969.33,4421.1900000000005,3570.0
0.0078125,4492.08,4698.63,4128.96,4209.54,4406.91,4706.79,4638.96,3803.58,4437.0,4525.74,3931.08,3970.86,4420.68,3566.43
0.015625,4494.12,4696.59,4132.02,4203.42,4406.91,4703.7300000000005,4636.92,3806.64,4437.0,4525.74,3932.61,3970.86,4419.15,3568.98
0.0234375,4495.14,4698.12,4131.0,4206.99,4405.38,4704.24,4640.49,3803.58,4435.47,4524.72,3933.12,3963.21,4419.15,3570.51
0.03125,4493.61,4698.63,4126.41,4208.01,4406.4,4706.28,4642.02,3800.01,4433.43,4525.74,3931.08,3964.7400000000002,4420.68,3570.0
0.0390625,4488.51,4693.53,4126.41,4207.5,4407.42,4704.75,4641.0,3802.05,4437.51,4526.76,3931.59,3975.96,4421.1900000000005,3570.0
0.046875,4489.53,4696.59,4129.9800000000005,4203.42,4405.89,4703.7300000000005,4644.57,3803.58,4437.51,4527.27,3932.1,3972.9,4420.17,3571.53
0.0546875,4492.08,4701.18,4131.51,4202.91,4406.91,4704.75,4644.57,3802.56,4431.39,4527.27,3933.63,3967.8,4420.68,3572.04
0.0625,4490.55,4698.63,4128.96,4210.05,4409.46,4705.77,4642.53,3802.05,4432.41,4524.72,3934.14,3973.41,4422.72,3571.02
0.0703125,4491.57,4699.14,4126.41,4211.07,4408.4400000000005,4705.26,4642.53,3805.62,4435.9800000000005,4525.2300000000005,3931.08,3975.96,4423.74,3572.04
0.078125,4490.55,4702.2,4125.9,4212.6,4405.89,4703.7300000000005,4642.53,3808.6800000000003,4432.41,4527.27,3931.08,3975.96,4420.68,3572.04
0.0859375,4489.02,4703.7300000000005,4127.9400000000005,4212.09,4405.38,4705.77,4642.53,3806.13,4431.39,4523.7,3931.08,3975.4500000000003,4418.64,3571.53
0.09375,4491.06,4702.71,4127.43,4203.93,4405.38,4707.3,4643.04,3802.05,4438.02,4522.17,3930.06,3974.94,4418.64,3568.98
0.1015625,4491.57,4701.18,4126.41,4202.4,4405.38,4703.7300000000005,4643.55,3803.07,4437.0,4526.76,3932.1,3975.4500000000003,4419.66,3568.4700000000003
0.109375,4489.53,4701.6900000000005,4128.45,4200.36,4406.4,4703.7300000000005,4645.08,3804.6,4431.39,4527.78,3932.61,3971.88,4420.68,3572.04
0.1171875,4488.51,4702.71,4129.9800000000005,4194.24,4406.4,4705.77,4645.08,3801.54,4432.41,4524.21,3931.59,3965.76,4419.66,3570.51
0.125,4492.08,4700.67,4127.43,4196.28,4406.91,4705.26,4644.57,3803.58,4435.9800000000005,4523.7,3933.63,3967.8,4418.13,3566.43
0.1328125,4493.1,4696.08,4126.41,4200.87,4408.4400000000005,4704.75,4646.1,3807.66,4435.9800000000005,4524.72,3934.65,3971.88,4420.68,3568.4700000000003
0.140625,4491.57,4695.06,4126.41,4199.85,4408.4400000000005,4703.7300000000005,4647.12,3805.11,4434.96,4524.21,3933.12,3968.31,4421.1900000000005,3570.0
0.1484375,4491.57,4696.59,4126.92,4203.42,4405.89,4703.22,4645.59,3803.58,4434.45,4522.68,3932.61,3968.82,4420.17,3567.96
0.15625,4491.06,4695.57,4126.92,4207.5,4405.38,4703.7300000000005,4643.04,3805.11,4434.45,4523.7,3931.59,3973.92,4421.1900000000005,3567.4500000000003
0.1640625,4489.53,4693.53,4125.39,4205.46,4406.4,4705.77,4644.06,3806.64,4433.9400000000005,4525.2300000000005,3933.63,3975.4500000000003,4420.68,3567.96
0.171875,4491.57,4697.1,4125.39,4202.4,4406.91,4707.81,4644.57,3808.17,4432.92,4523.7,3935.16,3975.96,4421.7,3572.55
0.1796875,4493.61,4702.2,4124.88,4203.42,4407.93,4706.28,4642.53,3806.13,4433.43,4522.17,3931.08,3975.4500000000003,4421.7,3574.08
0.1875,4490.55,4701.6900000000005,4124.37,4204.95,4409.46,4704.24,4643.04,3804.6,4434.45,4524.72,3931.59,3974.94,4419.66,3570.51
0.1953125,4491.57,4701.18,4123.86,4205.46,4407.93,4706.28,4645.59,3807.15,4433.9400000000005,4526.25,3935.67,3973.92,4419.15,3570.51
0.203125,4492.59,4702.71,4126.41,4203.93,4406.4,4708.32,4644.06,3807.15,4433.43,4525.2300000000005,3934.14,3972.9,4418.64,3571.02
0.2109375,4489.02,4701.18,4125.9,4202.91,4405.38,4705.26,4639.9800000000005,3804.6,4434.45,4526.76,3932.1,3972.39,4419.66,3569.4900000000002
0.21875,4489.53,4702.2,4121.31,4203.93,4405.89,4704.24,4644.06,3806.13,4434.45,4527.27,3934.14,3973.92,4421.7,3570.51
0.2265625,4488.0,4699.65,4124.37,4205.46,4406.91,4705.26,4646.1,3808.17,4433.9400000000005,4526.25,3936.1800000000003,3978.0,4420.68,3570.51
0.234375,4490.04,4698.12,4127.43,4198.32,4405.89,4705.26,4643.04,3807.15,4435.47,4526.25,3933.63,3975.96,4420.17,3570.0
0.2421875,4492.59,4701.6900000000005,4126.41,4196.28,4405.89,4705.26,4643.55,3804.09,4435.9800000000005,4526.25,3929.55,3969.84,4420.68,3570.51
0.25,4489.02,4697.1,4127.9400000000005,4203.93,4406.91,4704.75,4645.08,3802.05,4436.49,4524.21,3929.55,3969.33,4418.64,3571.02
0.2578125,4488.51,4692.0,4130.49,4203.42,4406.4,4705.26,4647.12,3804.6,4438.53,4522.68,3931.08,3971.37,4418.13,3573.57
0.265625,4488.51,4695.57,4129.47,4202.4,4404.87,4704.24,4645.59,3804.6,4438.02,4523.7,3932.1,3973.41,4419.66,3573.06
0.2734375,4488.51,4696.08,4124.88,4209.54,4406.4,4703.22,4644.57,3803.58,4436.49,4525.2300000000005,3933.63,3976.4700000000003,4420.17,3571.02
0.28125,4492.08,4693.53,4122.84,4211.07,4406.91,4706.28,4646.61,3806.13,4434.96,4525.2300000000005,3934.65,3980.04,4421.7,3572.55
0.2890625,4492.08,4694.55,4122.84,4208.01,4404.87,4705.77,4645.08,3809.7000000000003,4434.96,4524.21,3935.16,3981.57,4422.72,3572.04
0.296875,4488.0,4700.16,4122.33,4208.52,4405.38,4703.7300000000005,4643.55,3809.19,4436.49,4525.74,3930.57,3978.0,4422.21,3568.4700000000003
