F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
2288.6199,2395.2609,2107.8504,2136.2013,2247.2639999999997,2402.0235000000002,2367.1701000000003,1940.8662,2262.3498000000004,2307.087,2005.6311,2028.5199000000002,2255.3271,1823.0409000000002
2289.4002,2395.2609,2108.6306999999997,2137.5018,2246.7438,2400.723,2368.4706,1940.6061000000002,2261.3094,2308.3875,2005.1109000000001,2027.9997,2254.2867,1823.301
2292.0012,2396.0412,2107.5903,2139.8427,2249.0847000000003,2400.9831000000004,2369.7711,1939.8258,2261.3094,2308.3875,2006.4114,2028.2598,2253.7664999999997,1822.7808
2291.7410999999997,2393.9604,2106.0297,2138.022,2249.3448000000003,2400.4629,2368.7307,1938.7854,2261.5695,2307.8673000000003,2007.4518000000003,2029.0401000000002,2254.0266,1824.0813
2289.4002,2393.7003,2105.2494,2137.2417,2248.5645,2402.0235000000002,2370.0312,1938.0051,2260.269,2307.6072000000004,2005.371,2027.9997,2252.4660000000003,1823.0409000000002
2291.2209000000003,2393.7003,2108.1105000000002,2137.2417,2247.5241,2401.5033,2369.5110000000004,1938.7854,2261.0493,2308.1274,2005.8912,2028.78,2252.9862,1822.7808
2291.7410999999997,2393.7003,2108.6306999999997,2136.4614,2248.3044000000004,2401.2432,2368.2105,1940.346,2262.0897,2308.6476000000002,2005.1109000000001,2028.2598,2254.0266,1822.7808
2289.6603,2395.0008,2107.5903,2136.7214999999997,2249.0847000000003,2402.8038,2369.2509,1940.0859,2261.3094,2307.8673000000003,2004.5907000000002,2028.2598,2253.5064,1822.5207
2290.4406000000004,2394.7407,2107.8504,2135.9412,2248.0443,2402.2835999999998,2368.9908,1940.6061000000002,2260.7892,2307.3471,2006.9316,2029.0401000000002,2254.0266,1822.5207
2291.7410999999997,2394.7407,2107.3302000000003,2135.6811,2248.0443,2401.7634000000003,2367.6902999999998,1941.9066,2262.0897,2307.8673000000003,2006.4114,2027.7396,2254.2867,1821.7404
2291.481,2395.521,2107.5903,2135.4210000000003,2248.3044000000004,2402.0235000000002,2367.1701000000003,1941.3863999999999,2262.6099,2308.1274,2007.1917,2027.7396,2255.3271,1823.8211999999999
2290.1805,2394.7407,2108.3706,2135.1609000000003,2247.7842,2400.723,2369.7711,1940.6061000000002,2261.0493,2306.5668,2006.6715000000002,2027.7396,2254.5468,1824.8616
2290.1805,2393.7003,2107.3302000000003,2137.2417,2248.8246,2398.6422000000002,2370.2913000000003,1940.346,2261.3094,2307.087,2005.371,2027.9997,2254.2867,1823.0409000000002
2292.2613,2394.4806000000003,2106.81,2136.4614,2249.0847000000003,2400.2028,2367.4302000000002,1940.8662,2262.87,2309.4279,2006.6715000000002,2029.0401000000002,2254.8069000000005,1823.0409000000002
2291.7410999999997,2394.7407,2106.0297,2135.9412,2248.5645,2403.5841,2369.5110000000004,1940.0859,2262.87,2308.6476000000002,2005.6311,2027.7396,2251.4256,1823.8211999999999
2289.4002,2392.6599,2106.81,2136.2013,2247.5241,2401.5033,2370.8115,1938.0051,2261.8296,2308.3875,2005.371,2027.2194,2251.1655,1824.3414
2289.4002,2391.8796,2107.3302000000003,2135.9412,2248.0443,2399.9427,2368.7307,1939.0455000000002,2262.3498000000004,2309.4279,2006.4114,2028.5199000000002,2254.0266,1823.8211999999999
2289.6603,2393.7003,2106.5499,2136.9816,2249.3448000000003,2403.0639,2368.2105,1940.6061000000002,2261.8296,2308.1274,2006.4114,2027.4795000000001,2253.5064,1822.0005
